Tag number, Tag description
001, Control Number
003, Control Number Identifier
005, Date and Time of Latest Transaction
006, Fixed-Length Data Elements - Additional Material Characteristics
007, Physical Description Fixed Field
008, Fixed-Length Data Elements
100, Main Entry - Personal Name 
110, Main Entry - Corporate Name 
111, Main Entry - Meeting Name 
130, Main Entry - Uniform Title 
210, Abbreviated Title 
222, Key Title 
240, Uniform Title 
242, Translation of Title by Cataloging Agency 
243, Collective Uniform Title 
245, Title Statement 
246, Varying Form of Title 
247, Former Title 
250, Edition Statement  
254, Musical Presentation Statement  
255, Cartographic Mathematical Data  
256, Computer File Characteristics  
257, Country of Producing Entity  
258, Philatelic Issue Data  
260, Publication, Distribution, etc. (Imprint)
263, Projected Publication Date  
264, Production, Publication, Distribution, Manufacture, and Copyright Notice  
270, Address  
300, Physical Description  
306, Playing Time  
307, Hours, etc.  
310, Current Publication Frequency  
321, Former Publication Frequency  
336, Content Type  
337, Media Type  
338, Carrier Type  
340, Physical Medium  
342, Geospatial Reference Data  
343, Planar Coordinate Data  
344, Sound Characteristics  
345, Projection Characteristics of Moving Image  
346, Video Characteristics  
347, Digital File Characteristics  
348, Format of Notated Music  
351, Organization and Arrangement of Materials  
352, Digital Graphic Representation  
355, Security Classification Control  
357, Originator Dissemination Control  
362, Dates of Publication and/or Sequential Designation  
363, Normalized Date and Sequential Designation  
365, Trade Price  
366, Trade Availability Information  
370, Associated Place  
377, Associated Language  
380, Form of Work  
381, Other Distinguishing Characteristics of Work or Expression  
382, Medium of Performance  
383, Numeric Designation of Musical Work  
384, Key  
385, Audience Characteristics  
386, Creator/Contributor Characteristics  
388, Time Period of Creation  
490, Series Statement  
500, General Note 
501, With Note 
502, Dissertation Note 
504, Bibliography, etc. Note 
505, Formatted Contents Note 
506, Restrictions on Access Note 
507, Scale Note for Graphic Material 
508, Creation/Production Credits Note 
510, Citation/References Note 
511, Participant or Performer Note 
513, Type of Report and Period Covered Note 
514, Data Quality Note 
515, Numbering Peculiarities Note 
516, Type of Computer File or Data Note 
518, Date/Time and Place of an Event Note 
520, Summary, etc. 
521, Target Audience Note 
522, Geographic Coverage Note 
524, Preferred Citation of Described Materials Note 
525, Supplement Note 
526, Study Program Information Note 
530, Additional Physical Form available Note 
533, Reproduction Note 
534, Original Version Note 
535, Location of Originals/Duplicates Note 
536, Funding Information Note 
538, System Details Note 
540, Terms Governing Use and Reproduction Note 
541, Immediate Source of Acquisition Note 
542, Information Relating to Copyright Status 
544, Location of Other Archival Materials Note 
545, Biographical or Historical Data 
546, Language Note 
547, Former Title Complexity Note 
550, Issuing Body Note 
552, Entity and Attribute Information Note 
555, Cumulative Index/Finding Aids Note 
556, Information About Documentation Note 
561, Ownership and Custodial History 
562, Copy and Version Identification Note 
563, Binding Information 
565, Case File Characteristics Note 
567, Methodology Note 
580, Linking Entry Complexity Note 
581, Publications About Described Materials Note 
583, Action Note 
584, Accumulation and Frequency of Use Note 
585, Exhibitions Note 
586, Awards Note 
588, Source of Description Note 
600, Subject Added Entry - Personal Name  
610, Subject Added Entry - Corporate Name  
611, Subject Added Entry - Meeting Name  
630, Subject Added Entry - Uniform Title  
647, Subject Added Entry - Named Event  
648, Subject Added Entry - Chronological Term  
650, Subject Added Entry - Topical Term  
651, Subject Added Entry - Geographic Name  
653, Index Term - Uncontrolled  
654, Subject Added Entry - Faceted Topical Terms  
655, Index Term - Genre/Form  
656, Index Term - Occupation  
657, Index Term - Function  
658, Index Term - Curriculum Objective  
662, Subject Added Entry - Hierarchical Place Name  
700, Added Entry - Personal Name 
710, Added Entry - Corporate Name 
711, Added Entry - Meeting Name 
720, Added Entry - Uncontrolled Name 
730, Added Entry - Uniform Title 
740, Added Entry - Uncontrolled Related/Analytical Title 
751, Added Entry - Geographic Name 
752, Added Entry - Hierarchical Place Name 
753, System Details Access to Computer Files 
754, Added Entry - Taxonomic Identification  
760, Main Series Entry  
762, Subseries Entry  
765, Original Language Entry  
767, Translation Entry  
770, Supplement/Special Issue Entry  
772, Supplement Parent Entry  
773, Host Item Entry  
774, Constituent Unit Entry  
775, Other Edition Entry  
776, Additional Physical Form Entry  
777, Issued With Entry  
780, Preceding Entry  
785, Succeeding Entry  
786, Data Source Entry  
787, Other Relationship Entry  
800, Series Added Entry - Personal Name 
810, Series Added Entry - Corporate Name 
811, Series Added Entry - Meeting Name 
830, Series Added Entry - Uniform Title 
841, Holdings Coded Data Values
842, Textual Physical Form Designator
843, Reproduction Note
844, Name of Unit
845, Terms Governing Use and Reproduction
850, Holding Institution  
852, Location  
853, Captions and Pattern - Basic Bibliographic Unit
854, Captions and Pattern - Supplementary Material
855, Captions and Pattern - Indexes
856, Electronic Location and Access  
863, Enumeration and Chronology - Basic Bibliographic Unit
864, Enumeration and Chronology - Supplementary Material
865, Enumeration and Chronology - Indexes
866, Textual Holdings - Basic Bibliographic Unit
867, Textual Holdings - Supplementary Material
868, Textual Holdings - Indexes
876, Item Information - Basic Bibliographic Unit
877, Item Information - Supplementary Material
878, Item Information - Indexes
880, Alternate Graphic Representation  
882, Replacement Record Information  
883, Machine-generated Metadata Provenance  
884, Description Conversion Information  
885, Matching Information  
886, Foreign MARC Information Field  
887, Non-MARC Information Field  
