ID;Jaar;Plaats uitgave;Boekverkoper;Auteur;Titel;Formaat;Vindplaats;Bijwerk;Figure;Plaats druk;Drukker;Stijl
BDA:1;1570;Deventer;Johan van Breda;Ambrosius Magirus sr.;Schriif Almanach op dat Jaer nae der gheboort onses Heeren Jesu Christi MDLXX. Dorch D.D. Ambrosium Magirum. Met Privilegie Schepens en[de] Raedt der Stadt Deventer en[de] Ghedrucket bij Johan van Breda, 1570.;16o ? of 12o;Onbekend;Een bijwerkje: Practica op dat jaer MDLXX gepractiseert dorch D.D. Ambr. Magirum. Met 2 houtsneden: IN deze Figure vindij in wat Lidt des Lichaems de Mane op elcken dach is.;AFBEELDING  1,1 [KOPIE];;;
BDA:2;1572;Delft;Arent Hendrickxzoon;Laurens van Oirschot;(fol. A1r) [in zwart en rood] Almanach, eñ Prog | nosticatie vanden Iare ons Heeré| M.D.VXXIJ. Ghecalculeert opté Meridi | aé, der vermaerde stadt vá Delft bi mi Doctor| Laurens vá Oorscot deselver plaetsé medecijn| Met die Evangelien, eñ Epistelen vandé| Sondaghen, ende Heylighe dagé en| Met die Iaermercté, Paerdemercten, eñ| [vee]mercten, In Hollant, Zeelant, Vrieslant| Brabant, Vlaenderen, eñ noch vorder.| Gevisiteert, ende oprecht bevonden sonder| eenighe suspicte van heresie ofte erreur, by| my D. Martinum Duncanii Kempesem| Pastoor in de Oude Kerck te Delft, eñ gecó| senteert by dé Hove anno M.D.VXXI| den .xv. Octobris. Onderteykent B. Ernst| [houtsnede wapen van Delft met opschrift: A H. Aan weerszijden de tekst:] Gheprent tot Delft In| Hollant by my Aernt| Hendrickszoon Woonende| ten huyse van Simó Ians| By Die Vismarct.||;16o:A C 8;WILL 4626;;;;;
BDA:3;1574;Deventer;Ambrosius Magirus jr.;Ambrosius Magirus jr.;(fol A1r) [in zwart en rood] [titel in ornamentrand] Schrijeff | Almanach,| Op dat Iaer nae der Ghe | boort, onses Heeren Iesu Christi.| M.D.LXXIIII.| Dorch M. Ambrosium Magirum.| Iunior.| [houtsnede stadsgezicht Deventer, met opschrift: 'Die Stadt van Deventer.' en 'Die Isell']| Gedruckt tho Deventer met Pre | vilegie, Kon. May. Verboten nicht na tho| Drucken, by Peen des Originaels. etc.||;16o:[A] 8 B D 8;RAGel HA Echteld inv. nr. 4;;;;;
BDA:4;1575;Delft;Weduwe Arent Hendrickxzoon;Laurens van Oirschot;(fol. A1r) [in zwart en rood] Omkaderd met ornamentrand ALMANACH| ENDE PROGNOSTI | CATIE VANDEN IA | re ons Heeren M.CCCCC en | de LXXV. Ghecalculeert tot| Delft By my Doctor Lau | rens van Oorschot.| Met die Iaermercten, Paer | demercten, ende Suvelmercten,| In Hollant, Zeelant, Vries. etc.| [houtsnede: wapen van Delft en de initialen A H]| Gheprent tot Delft by die We | duwe van Arent Hendricxzoon| woonende by de Vismarct||;16o:[A] [C] 8;SMLL 3355;;;;;
BDA:5;1575;Deventer;Ambrosius Magirus jr.;Ambrosius Magirus jr.;(fol. A1r) [In zwart en rood] [titel omkaderd door brede ornamentrand] Cronijck Schrijff| Almanach,| Op dat Iaer Nae die Ghe | boort, Christi Iesu onses HEeren [sic].| M.D.LXXV.| Tot nut ende Proffyt der hogen Overicheyt,| Rentmeysters, Cantoren, Rentenijers, Koop | luyden, ende voor alle Borgeren etc.| Dorch D. Ambrosium Magirum.| [houtsnede portret met opschrift: AMBROSIVS MAGIRVS IVNIOR. MEDI: t AST: Ao AETA: 29. M.]| Gedruckt tho Deventer met Kon. Maiest.| Previleg. verbadé niet nae to drucken.| Dorch Ambrosium Magirum||;8o:A F 8 (+ B1 t/m B8);HMWD DD 19;;AFBEELDING  36,1- 36,14 [OP CD-ROM HANDDRUK!];;;
BDA:6;1575;Steenwijk;Herman 't Zangers;Henricus Westerhuys;[nog niet gezien] [titelpagina ontbreekt] [Almanach] voor 1575, door Henricus Westerhuys, uitgegeven door Herman 't Zangers in Steenwijk;16o ?;KVB [zonder sign.];;;;;
BDA:7;1577;Deventer;Ambrosius Magirus jr.;Ambrosius Magirus jr.;(fol. A1r) [In zwart en rood] [titel omkaderd door brede ornamentrand] CRONIICK| Almanach| Op dat Iaer na die Geboort| onsers Heeren Iesu Christi.| M.D.LXXVII.| Ghepractizeert dorch D. Ambro | sium Magirium, Medicum ende Mathema | ticum, Ordinarium der K. vrye Anze| Stadt Deventer.| [houtsnede portret Magirus met opschrift: AMBROSIVS MAGIRVS IVNIOR ANo AETA. SVAEXXIX.M.]| Gedruckt toe Deventer, met| Gratie Keyserlicker Mayestraet| Vrijheyt eñ Previlegie xc.||;8o:A E 8;GAK B 2987;;AFBEELDING  2,1-2,14 [KOPIEEN];;;
BDA:8;1580;Deventer;Ambrosius Magirus jr. ?;Ambrosius Magirus jr.;(fol. A1r) [In zwart en rood] [titel omkaderd door brede ornamentrand] CRONIICK| Almanach| Op dat Iaer na die Ge | bórt onsers Heeren Iesu Christi,| M.D.LXXX.| Gepractizeert, dorch D. Ambrosi | um Magirú, Medicum eñ Ma | thematicum, Ordinarium der Keyser| vrye Anze| Stadt Deventer.| [houtsnede portret magirus met opschrift: AMBROSIVS MAGIRVS IVNIOR MEDI, ET ASTRO., binnen deze rand staat: 'Anno statis XXX U en verder een losse A[mbrosius] en M[agirus]]| [om het portret heen:] Met Keyserlicker vñ Konincklicker Majestaet Vriheyt vñ Privilegie, vbaden niet nae toe drucken, by verboerte vá tijn Marck bolts. Utlarius in Literis Originalibus etc.||;8o:A D 8;SABD 100 D 37;;;;;
BDA:9;1582;Delft;Aelbrecht Hendricksz;Stephanus Rabbathenus;(fol. A1r): [in zwart en rood] Almanach ende Progno | sticatie vanden Iare ons Heeren| M.D.LXXXII.| Door D. Stephanus Rabbatenus.| Met alle Iaermarckten, Peerdemarckten, Suyvel | marckten ende Leermarckten.| [houtsnede portret] [ornamenten langs portret]| Ghedruct tot Delft, by Aelbert Hendricxz| woonende aent Marckt velt.||;16o:[A] [B] 8;KBH 26 F 20;Een bijwerkje: Cleyne Prognosticatie oft voorsegghinghe [...] Ghepractiseerd door D. Stephanum  Rabbathenum [...] Ghedruckt tot Delft by Aelbert Hendriczs. [...].;;;;
BDA:10;1583;Deventer;Simon van Steenbergen;;[exemplaar onbekend] Schrijff Cronyk Almanach op dat Jaer na die geboert onsers Heeren Jesu Christi MDLXXXIII.;?;Onbekend;;;;;
