ID;Name;Gender;Relations;Years of life;City;Location as mentioned on print products;Years of activity;Kind of print and sales activities;KVCS-ID
KVCS:1;Alberts, J M ;m;;;Xanten, Maaseik en Sittard;; 1792 - na 1817;de drukkerij bestaat nog in 2018;1
KVCS:2;Bancken, Margaretha van;v;;;Haarlem;;1681 - 1695;boekdrukker, prentdrukker, uitgeefster van de Opregte Haarlemsche Courant;2
KVCS:3;Beersmans, Franciscus Anthonius;m;;1840-1897;Turnhout;;1866 - 1897;boekdrukker, prentdrukker, uitgever krant;3
KVCS:4;Beersmans-Pleek,  Weduwe en dochter;v, v;Weduwe, dochter, opvolgers van 3;;Turnhout;;1897 - 1902;boekdrukker, prentdrukker;3a
KVCS:5;Belkum Az, P van;m;opvolger van 182;;Velp;;1915 - 1935;boekdrukker, prentdrukker, uitgever kindertijdschriften;101
KVCS:8;Bergen, Fa  Willem  van, & Co;m, m;opvolger van 6, compagnon is 97;;Breda;;1815 - 1824;boek- & prentdrukker, krantenuitgever, boekhandelaar, veilinghouder, handelaar in kantoorartikelen;4c
KVCS:6;Bergen, Willem van ;m;;;Breda;;1784 - 1815;boek- & prentdrukker, krantenuitgever, boekhandelaar, veilinghouder, handelaar in kantoorartikelen;4
KVCS:7;Bergen, Willem van & W G  van der Sande;m, m;opvolger van 6, samenwerking van 6 en 176;;Breda;;? - 1805;boek- & prentdrukker, krantenuitgever, boekhandelaar, veilinghouder, handelaar in kantoorartikelen;4b
KVCS:9;Bontamps,  Weduwe  Hubertus;v;opvolger van 239;? - 1817;Venlo;;1779 - 1818;drukte prenten en almanakken, handel in kantoorartikelen;5c
KVCS:240;Bontamps, F en C;m. m;filiaal van 9;;Geldern;;? - ?;drukkers, boek- en prentverkopers;5d
KVCS:239;Bontamps, Hubertus;m;opvolger van 238;;Venlo;;1773 - 1779;drukkerij, uitgeverij en lettergieterij;5b
KVCS:10;Bouman 1, Jan Jacobsz ;m;;;Amsterdam;;1644 - 1673;boekdrukker, prentdrukker, boekhandelaar;6
KVCS:12;Bouman 2, Jacobus ;m;opvolger van 11;;Amsterdam; ‘in de Pylsteegh’ (1673), daarna ‘by de tweede Haarlemmer sluys, by de vismarckt’ (1675-1677), ‘op den Nieuwendyck tussen de twee Haerlemmer Sluysen’ en ‘over de Haarlemmer-Sluys’ (1677-1708). ;1673 - 1703;boekdrukker, prentdrukker, boekhandelaar;6b
KVCS:14;Bouman 3, Jan jr ;m;opvolger van 13;;Amsterdam;;1708 - 1716;boekdrukker, prentdrukker, boekhandelaar;6d
KVCS:11;Bouman,  Weduwe  J J ;v;opvolger van 10;;Amsterdam;;c.1871 - 1673;boekdrukker, boekhandelaar;6a
KVCS:13;Bouman, Jacobus & Jan jr ;m, m;opvolger van 12;;Amsterdam;;1703 - 1708;boekdrukker, prentdrukker, boekhandelaar;6c
KVCS:17;Bouwer, J  en David le Jolle;m, m;opvolger van 16;;Amsterdam;;1809 -  1814;boekdrukker, prentdrukker, boekhandelaar;87f
KVCS:16;Bouwer, Johannes ;m;opvolger van 15;1729-1814;Amsterdam;;1805 - 1808;boekdrukker, prentdrukker, boekhandelaar;87e
KVCS:15;Bouwer, Johannes en  Weduwe  Johannes II  Ratelband;m, v;opvolger van166,  samenwerking van 16 en  165; ;Amsterdam;;1794 - 1804;boekdrukker, prentdrukker, boekhandelaar;87d
KVCS:18;Bredée, J M ;m;;1854-1947;Rotterdam;Oost-Molenstraat;1878 - 1927;boekhandelaar, uitgever, handelaar in devotionalia,  ;7
KVCS:19;Bremer;m;;;Amsterdam, ;Kleine Kattenburgerstraat ;1867 - na 1900;uitgever van protestants-christelijke boeken, prenten en tijdschriften ;8
KVCS:21;Brepols & Dierckx zoon;m, m;opvolger van 20, schoonzoon Joannes Josephus Dierckx (1785-1842);;Turnhout;;1833 - 1911;boek-, speelkaart- en prentdrukker, krantuitgever;9a
KVCS:22;Brepols NV;;opvolger van 21;;Turnhout;;1911 - 1935;boek-, speelkaart- en prentdrukker;9b
KVCS:20;Brepols Philippus Jacobus;m;;1778-1845;Turnhout;;1817 - 1833;boek-, speelkaart- en prentdrukker, krantuitgever;9
KVCS:23;Brest van Kempen, J J, Willem van Bergen & W G  van der Sande;m;Brest van Kempen was enkele jaren vennoot van 6 en 176;;Breda;;1803? - 1805;boekdrukkers, prentdrukkers, boekhandelaren;4d
KVCS:26;Brink,   Weduwe  Harmen ten ;v;weduwe en opvolger van 25;1829-1897;Meppel;;1873 - 1897;boekhandelaar, uitgever;10b
KVCS:28;Brink,   Weduwe  Hendrik ten;v;weduwe en opvolger van 27;;Arnhem;;1925 - 1939;boekhandel, uitgeverij van o.a. schoolprenten en wandplaten;10d
KVCS:24;Brink, Firma ten;;;;Meppel/Arnhem/Meppel;;1848 - 1990;boekhandel, uitgeverij van schoolprenten, wandplaten;10
KVCS:29;Brink, Harmen II ten;m;opvolger van 29;;Meppel, vanaf 1939;;1939 - 1960;uitgever (in 1990 overgenomen door Boom);10e
KVCS:25;Brink, Harmen I ten;m;grondlegger van 24;1830-1873;Meppel;;1848 - 1873;boekhandelaar, uitgever ;10a
KVCS:27;Brink, Hendrik ten;m;zoon van 25 en 26, opvolger van van 26;1862-1925;Meppel & Arnhem, na 1916;;1897 - 1925;boekhandelaar, uitgever van o.a. schoolprenten en wandplaten;10c
KVCS:31;Broedelet & Comp ;m, m;opvolger van 30, met zoon A M Broedelet als compagnon;;Purmerend;;1839 - 1842;uitgever kinderboeken en -prenten;11a
KVCS:30;Broedelet & Rijkenberg;m, m;;Broedelet 1769-1846;Purmerend;;1830 - 1838;boekhandelaars, wederverkopers kinderprenten, uitgevers kinderboeken, met Rijkenberg (ook: Rykenberg) als vennoot;11
KVCS:33;Broersz,  Weduwe  Joost ;v;opvolger van 32;1647-1674;Amsterdam;;1647 - 1674;boekdrukker, prentdrukker;12a
KVCS:32;Broersz, Joost;m;;1609-1647;Amsterdam;in de Pijlsteegh, in de Boeck-druckerije;1634 - 1647;boek-, prent- en krantdrukker, boek- en prentverkoper;12
KVCS:34;Broese, P R  & Co;m, m;opvolger van 98, compagnon is J A Broese;;Breda;;1828 - 1851;boekhandelaar, prenthandelaar, uitgever;45b
KVCS:36;Bronstring,  Weduwe  J P ;v;opvolger van 35;;Purmerend;;1834 - c.1838;boekhandelaar, uitgever, uitgever en wederverkoper centsprenten;13a
KVCS:35;Bronstring, Jan Pietersz ;m;;;Purmerend;;1815 - 1834;boekhandelaar, uitgever, uitgever en wederverkoper centsprenten;13
KVCS:37;Brosens, Drukkerij Jacob;;opvolger van 4;;Turnhout;;1900 -  1903;boekdrukker, prentdrukker en -verkoper;3b
KVCS:38;Brouwer, C;m;;;Hoorn;‘In de Ramen’ ;1778 - 1796;boekdrukker, boekverkoper, centsprentdrukker, centsprentverkoper;14
KVCS:39;Bruers, Alexander Anthonius;m;;1761-?;Antwerpen/Sint-Niklaas (na 1806);;1785 - na 1806;boekdrukker, boekverkoper;15
KVCS:40;Buma, H L  van;m;;;Sneek, 1787-1792, Gouda, 1793-1801;"Te Sneek op de hoek van
de Peperstraat over de Waag’";1787 - 1801?;boekdrukker, boekverkoper, centsprentdrukker, centsprentverkoper;16
